name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York State,2021-01-01T00:00:00,32.4,29.7,24,70.72,0,0,,0,0.39,,3.1,246,1031.3,81.2,9.9,0,,0,,Partially cloudy,partly-cloudy-night,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2021-01-01T01:00:00,32.5,32.5,24.1,70.76,0,0,,0,0.34,,0.1,353,1031.4,93.7,9.9,0,,0,,Overcast,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2021-01-01T02:00:00,31.6,28.3,24.2,73.84,0,0,,0,0.3,,3.4,143,1031.6,100,9.9,0,,0,,Overcast,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2021-01-01T03:00:00,31.6,26.8,25.1,76.66,0,0,,0,0.25,,4.8,171,1032.1,100,9.9,0,,0,,Overcast,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2021-01-01T04:00:00,31.8,27.2,25.2,76.31,0,0,,0,0.2,,4.5,118,1032,100,9.9,0,,0,,Overcast,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2021-01-01T05:00:00,29.5,23.6,24.1,79.99,0,0,,0,0.15,,5.6,116,1031,85.7,9.8,0,,0,,Partially cloudy,partly-cloudy-night,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2021-01-01T06:00:00,29.7,23.9,23.2,76.63,0,0,,0,0.1,,5.5,159,1031.3,53.7,9.8,0,,0,,Partially cloudy,partly-cloudy-night,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2021-01-01T07:00:00,28.9,22.9,21.3,72.8,0,0,,0,0.05,,5.6,122,1031.1,52.8,9.9,1.6,0,0,,Partially cloudy,partly-cloudy-night,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2021-01-01T08:00:00,28.1,24.7,21,74.55,0,0,,0,0,,3.1,87,1031.2,80.1,9.9,16,0.1,0,,Partially cloudy,partly-cloudy-day,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2021-01-01T09:00:00,28.8,22.7,21.2,72.71,0,0,,2.35,2.35,,5.7,44,1030.7,37.1,9.9,65,0.2,1,,Partially cloudy,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2021-01-01T10:00:00,30.7,23.1,22.1,69.99,0,0,,0,2.33,,8.2,72,1030,80.1,9.9,100,0.4,1,,Partially cloudy,partly-cloudy-day,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2021-01-01T11:00:00,31.9,24,22.1,66.79,0,0,,0,2.31,,9.3,92,1028.7,90.1,9.9,120,0.4,1,,Overcast,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2021-01-01T12:00:00,33,23.8,21.3,61.67,0,0,,0,2.3,,12.7,101,1026.7,90.1,9.9,156,0.6,2,,Overcast,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2021-01-01T13:00:00,33.9,26.4,22,61.27,0,0,,0,2.28,19.7,9.4,100,1025,90.1,9.9,126,0.5,1,,Overcast,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
