name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
New York State,2022-01-01T00:00:00,39.9,36.4,37.2,90.08,0,0,,0.05,0.79,,4.9,110,1007.1,100,7.6,,,,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2022-01-01T01:00:00,41.9,38.3,38,86.1,0,0,,0.05,0.84,,5.5,135,1005.7,100,9.3,,,,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2022-01-01T02:00:00,42.8,40,38.8,85.86,0,0,,0.05,0.89,,4.7,101,1005.4,100,9.4,,,,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2022-01-01T03:00:00,44.6,43.1,40.7,86.06,0.01,100,rain,0.05,0.94,,3.5,147,1005.1,100,9.5,,,,,"Rain, Overcast",snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2022-01-01T04:00:00,45.7,44.7,41.9,86.44,0,0,,0.05,0.98,,3.1,192,1004.6,100,9.5,,,,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2022-01-01T05:00:00,47.4,45.7,44.4,89.49,0,0,,0.05,1.03,,4.2,156,1004.7,100,9.5,,,,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2022-01-01T06:00:00,50.2,50.2,45.5,83.54,0,0,,0.05,1.08,,8.2,228,1004.5,100,9.4,,,,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2022-01-01T07:00:00,47.9,44.4,44.2,86.94,0,0,,0.05,1.13,,7.6,233,1005.1,95.7,9.4,,,,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF"
New York State,2022-01-01T08:00:00,46.2,41.5,43.4,89.83,0,0,,0.05,1.18,,9.7,228,1005.7,99,9.4,5,0,0,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2022-01-01T09:00:00,46.6,42.7,43.6,89.15,0,0,,0,0.48,,7.9,262,1007.1,100,6.6,9,0,0,,Overcast,cloudy,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2022-01-01T10:00:00,44.6,41.2,41.9,90.06,0,0,,0.05,0.53,,6.1,283,1007.3,100,6.2,21,0.1,0,,Overcast,snow,"72528014733,KIAG,72528704724,KBUF,D2713"
New York State,2022-01-01T11:00:00,42.8,37.5,39.8,88.83,0,0,,0.05,0.59,,9.2,333,1006.9,100,1.2,47,0.2,0,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2022-01-01T12:00:00,41.9,36.7,38.8,88.78,0,0,,0.05,0.64,,8.3,333,1007.2,100,1.1,36,0.1,0,,Overcast,snow,"71752099999,72528014733,KIAG,72528704724,KBUF,D2713"
New York State,2022-01-01T13:00:00,40.8,35.5,39.5,95.11,0,0,,0.05,0.69,,8.2,9,1005.9,100,0.8,36,0.1,0,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2022-01-01T14:00:00,39.7,32.2,37,90.03,0,0,,0.05,0.75,,12.7,360,1007.1,100,2.6,21,0.1,0,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2022-01-01T15:00:00,39,32.7,35.8,88.34,0,0,,0.05,0.8,,9.3,17,1007.2,100,8.4,13,0,0,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
New York State,2022-01-01T16:00:00,38.9,33.7,35.8,88.55,0,0,,0.05,0.86,,7.2,10,1007.4,100,4.1,9,0,0,,Overcast,snow,"71752099999,72528014733,KGVQ,KIAG,72528704724,KBUF,D2713"
