temp,feelslike,dew,humidity,precip,precipprob,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,uvindex,conditions_Clear,conditions_Overcast,conditions_Partly_cloudy,conditions_Rain_overcast,conditions_Rain_partly_cloudy,conditions_Snow_overcast,conditions_Snow_rain_overcast,preciptype_no_precipitation,preciptype_rain,preciptype_rain_and_snow,preciptype_snow
32.4,29.7,24.0,70.72,0.0,0,0.0,0.39,3.1,246.0,1031.3,81.2,9.9,0.0,0,0,0,1,0,0,0,0,1,0,0,0
32.5,32.5,24.1,70.76,0.0,0,0.0,0.34,0.1,353.0,1031.4,93.7,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
31.6,28.3,24.2,73.84,0.0,0,0.0,0.3,3.4,143.0,1031.6,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
31.6,26.8,25.1,76.66,0.0,0,0.0,0.25,4.8,171.0,1032.1,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
31.8,27.2,25.2,76.31,0.0,0,0.0,0.2,4.5,118.0,1032.0,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
29.5,23.6,24.1,79.99,0.0,0,0.0,0.15,5.6,116.0,1031.0,85.7,9.8,0.0,0,0,0,1,0,0,0,0,1,0,0,0
29.7,23.9,23.2,76.63,0.0,0,0.0,0.1,5.5,159.0,1031.3,53.7,9.8,0.0,0,0,0,1,0,0,0,0,1,0,0,0
28.9,22.9,21.3,72.8,0.0,0,0.0,0.05,5.6,122.0,1031.1,52.8,9.9,1.6,0,0,0,1,0,0,0,0,1,0,0,0
28.1,24.7,21.0,74.55,0.0,0,0.0,0.0,3.1,87.0,1031.2,80.1,9.9,16.0,0,0,0,1,0,0,0,0,1,0,0,0
28.8,22.7,21.2,72.71,0.0,0,2.35,2.35,5.7,44.0,1030.7,37.1,9.9,65.0,1,0,0,1,0,0,0,0,1,0,0,0
30.7,23.1,22.1,69.99,0.0,0,0.0,2.33,8.2,72.0,1030.0,80.1,9.9,100.0,1,0,0,1,0,0,0,0,1,0,0,0
31.9,24.0,22.1,66.79,0.0,0,0.0,2.31,9.3,92.0,1028.7,90.1,9.9,120.0,1,0,1,0,0,0,0,0,1,0,0,0
33.0,23.8,21.3,61.67,0.0,0,0.0,2.3,12.7,101.0,1026.7,90.1,9.9,156.0,2,0,1,0,0,0,0,0,1,0,0,0
33.9,26.4,22.0,61.27,0.0,0,0.0,2.28,9.4,100.0,1025.0,90.1,9.9,126.0,1,0,1,0,0,0,0,0,1,0,0,0
33.9,26.5,23.1,64.05,0.0,0,0.0,2.26,9.4,91.0,1023.3,90.1,9.9,71.0,1,0,1,0,0,0,0,0,1,0,0,0
33.9,26.3,23.1,64.34,0.0,0,0.0,2.25,9.6,91.0,1022.1,100.0,9.9,37.0,0,0,1,0,0,0,0,0,1,0,0,0
34.0,26.1,24.1,66.96,0.0,0,0.0,2.23,10.2,81.0,1020.4,100.0,9.9,13.0,0,0,1,0,0,0,0,0,1,0,0,0
33.0,24.8,26.9,77.99,0.057,100,0.0,2.21,10.4,63.0,1020.5,100.0,5.0,5.0,0,0,0,0,0,0,0,1,0,0,1,0
31.9,22.3,28.2,85.97,0.112,100,0.0,2.2,12.8,63.0,1018.6,100.0,6.4,0.0,0,0,0,0,0,0,0,1,0,0,1,0
32.9,25.1,29.0,85.5,0.001,100,0.0,2.18,9.5,81.0,1016.7,100.0,6.6,0.0,0,0,0,0,0,0,0,1,0,0,1,0
33.1,26.2,30.0,87.98,0.012,100,0.0,2.17,8.1,52.0,1015.0,100.0,3.8,0.0,0,0,0,0,0,0,0,1,0,0,1,0
33.0,24.8,30.8,91.8,0.0,0,0.0,2.15,10.3,55.0,1013.0,100.0,4.8,0.0,0,0,1,0,0,0,0,0,1,0,0,0
33.8,26.4,30.8,88.65,0.0,0,0.0,2.13,9.2,63.0,1010.8,100.0,3.4,0.0,0,0,1,0,0,0,0,0,1,0,0,0
33.9,26.3,30.8,88.59,0.011,100,0.0,2.12,9.4,63.0,1008.7,100.0,3.1,0.0,0,0,0,0,0,0,0,1,0,0,1,0
21.9,8.0,11.7,64.25,0.0,0,0.0,3.12,16.6,62.0,1018.6,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
23.0,9.2,12.7,64.13,0.0,0,0.0,3.11,17.0,61.0,1018.3,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
24.1,11.0,15.6,69.41,0.0,0,0.0,3.11,16.3,62.0,1018.2,100.0,8.8,0.0,0,0,1,0,0,0,0,0,1,0,0,0
24.0,11.2,16.5,72.47,0.0,0,0.0,3.1,15.4,53.0,1018.1,100.0,8.8,0.0,0,0,1,0,0,0,0,0,1,0,0,0
24.0,10.6,17.4,75.37,0.0,0,0.0,3.09,17.0,60.0,1017.8,100.0,7.1,0.0,0,0,1,0,0,0,0,0,1,0,0,0
23.0,9.6,18.2,81.59,0.0,0,0.0,3.08,16.0,60.0,1017.9,100.0,5.4,0.0,0,0,1,0,0,0,0,0,1,0,0,0
24.0,12.0,18.2,78.11,0.0,0,0.0,3.07,13.7,60.0,1018.1,100.0,3.7,0.0,0,0,1,0,0,0,0,0,1,0,0,0
23.0,12.2,18.2,81.65,0.01,100,0.0,3.07,10.5,59.0,1018.3,100.0,1.9,6.3,0,0,0,0,0,0,1,0,0,0,0,1
22.8,11.5,19.1,85.39,0.011,100,0.0,3.06,11.5,51.0,1018.8,100.0,1.3,11.0,0,0,0,0,0,0,1,0,0,0,0,1
23.9,11.8,19.1,81.69,0.0,0,0.03,3.09,13.6,50.0,1018.7,100.0,1.3,42.0,0,0,1,0,0,0,0,0,1,0,0,0
24.0,11.0,19.2,81.62,0.01,100,0.03,3.11,15.7,50.0,1018.4,100.0,1.3,119.0,1,0,0,0,0,0,1,0,0,0,0,1
24.9,11.1,19.2,78.54,0.011,100,0.03,3.14,19.0,59.0,1018.2,100.0,1.9,176.0,2,0,0,0,0,0,1,0,0,0,0,1
25.9,13.1,19.3,75.67,0.0,0,0.03,3.16,16.8,49.0,1017.5,100.0,5.8,211.0,2,0,1,0,0,0,0,0,1,0,0,0
25.9,14.6,20.0,78.25,0.005,100,0.03,3.19,12.9,58.0,1016.6,100.0,2.0,167.0,2,0,0,0,0,0,1,0,0,0,0,1
25.9,13.9,20.1,78.35,0.006,100,0.03,3.22,14.7,33.0,1016.0,100.0,7.6,152.0,2,0,0,0,0,0,1,0,0,0,0,1
24.8,14.2,19.9,81.66,0.0,0,0.03,3.24,11.0,33.0,1015.9,100.0,3.7,102.0,1,0,1,0,0,0,0,0,1,0,0,0
23.9,11.3,19.1,81.68,0.0,0,0.03,3.27,14.8,32.0,1016.3,100.0,2.0,68.0,1,0,1,0,0,0,0,0,1,0,0,0
22.9,9.6,18.1,81.66,0.011,100,0.03,3.3,15.8,42.0,1016.9,100.0,3.6,26.0,0,0,0,0,0,0,1,0,0,0,0,1
23.0,9.8,18.0,80.84,0.0,0,0.03,3.32,15.6,42.0,1017.2,100.0,8.8,7.0,0,0,1,0,0,0,0,0,1,0,0,0
23.1,11.3,16.1,74.29,0.01,100,0.03,3.35,12.6,41.0,1017.4,100.0,8.8,0.0,0,0,0,0,0,0,1,0,0,0,0,1
24.1,13.9,16.1,71.07,0.0,0,0.03,3.38,10.2,41.0,1017.4,100.0,8.8,0.0,0,0,1,0,0,0,0,0,1,0,0,0
23.2,14.8,16.0,73.5,0.0,0,0.03,3.4,7.0,40.0,1017.1,100.0,8.8,0.0,0,0,1,0,0,0,0,0,1,0,0,0
24.2,15.8,15.9,70.4,0.0,0,0.03,3.43,7.4,41.0,1016.9,94.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
24.2,12.7,14.1,65.06,0.0,0,0.03,3.46,12.5,32.0,1016.4,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
45.8,38.9,42.9,89.31,0.0,0,0.0,2.85,16.5,201.0,1003.0,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
47.6,41.1,43.9,87.12,0.0,0,0.0,2.78,16.8,203.0,1002.7,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
47.6,39.8,43.9,86.99,0.0,0,0.0,2.71,23.2,253.0,1003.4,100.0,7.1,0.0,0,0,1,0,0,0,0,0,1,0,0,0
42.9,36.6,40.5,91.15,0.035,100,0.0,2.65,11.6,281.0,1004.3,100.0,8.2,0.0,0,0,0,0,1,0,0,0,0,1,0,0
41.8,35.6,34.1,73.77,0.0,0,0.0,2.58,10.7,262.0,1004.5,91.3,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
38.9,31.6,33.2,79.67,0.0,0,0.0,2.51,11.8,235.0,1005.7,100.0,9.9,0.0,0,0,1,0,0,0,0,0,1,0,0,0
37.2,29.7,32.0,81.2,0.0,0,0.0,2.45,11.0,246.0,1006.5,100.0,9.9,0.7,0,0,1,0,0,0,0,0,1,0,0,0
