Datetime,Day,Month,Hour,Year,Dual Fuel_Gen_MW,Hydro_Gen_MW,Natural Gas_Gen_MW,Nuclear_Gen_MW,Other Fossil Fuels_Gen_MW,Solar_Gen_MW,Wind_Gen_MW
2021-01-01 00:00:00,1,1,0,2021,41056.0,41107.0,22286.0,57182.0,26.0,3389.0,756.0
2021-01-01 01:00:00,1,1,1,2021,35983.0,33858.0,19245.0,52781.0,24.0,3128.0,881.0
2021-01-01 02:00:00,1,1,2,2021,30889.0,35901.0,17772.0,52784.0,24.0,3124.0,321.0
2021-01-01 03:00:00,1,1,3,2021,31933.0,35001.0,17963.0,52784.0,24.0,3123.0,372.0
2021-01-01 04:00:00,1,1,4,2021,32922.0,35943.0,18005.0,52784.0,24.0,3118.0,670.0
2021-01-01 05:00:00,1,1,5,2021,34972.0,36201.0,19426.0,52797.0,24.0,3121.0,1319.0
2021-01-01 06:00:00,1,1,6,2021,36663.0,37026.0,19212.0,52782.0,24.0,3127.0,3288.0
2021-01-01 07:00:00,1,1,7,2021,38077.0,40445.0,19985.0,52789.0,24.0,3091.0,4441.0
2021-01-01 08:00:00,1,1,8,2021,37964.0,43384.0,24969.0,52787.0,24.0,3151.0,3997.0
2021-01-01 09:00:00,1,1,9,2021,38571.0,45239.0,26162.0,52762.0,24.0,3194.0,3263.0
2021-01-01 10:00:00,1,1,10,2021,45136.0,53071.0,32462.0,61556.0,28.0,3864.0,4027.0
2021-01-01 11:00:00,1,1,11,2021,48315.0,53277.0,36656.0,61560.0,28.0,3817.0,3726.0
2021-01-01 12:00:00,1,1,12,2021,40746.0,44715.0,31437.0,52764.0,24.0,3200.0,2804.0
2021-01-01 13:00:00,1,1,13,2021,40951.0,45139.0,34166.0,52772.0,24.0,3185.0,2431.0
2021-01-01 14:00:00,1,1,14,2021,41081.0,44418.0,36049.0,52773.0,24.0,3173.0,3657.0
2021-01-01 15:00:00,1,1,15,2021,49806.0,50837.0,44888.0,61574.0,28.0,3626.0,5065.0
2021-01-01 16:00:00,1,1,16,2021,46220.0,45139.0,41090.0,52782.0,417.0,3085.0,4413.0
2021-01-01 17:00:00,1,1,17,2021,50402.0,47860.0,46094.0,52789.0,1014.0,3113.0,3927.0
2021-01-01 18:00:00,1,1,18,2021,45608.0,47083.0,46871.0,52788.0,1141.0,3111.0,4545.0
2021-01-01 19:00:00,1,1,19,2021,44082.0,47341.0,44405.0,52783.0,258.0,3109.0,5307.0
2021-01-01 20:00:00,1,1,20,2021,41037.0,45383.0,43214.0,52781.0,24.0,3119.0,6604.0
2021-01-01 21:00:00,1,1,21,2021,41378.0,45129.0,38075.0,52776.0,24.0,3103.0,5414.0
2021-01-01 22:00:00,1,1,22,2021,48307.0,45995.0,40017.0,61570.0,28.0,3622.0,6233.0
2021-01-01 23:00:00,1,1,23,2021,37636.0,33225.0,30489.0,52730.0,24.0,3092.0,7575.0
2021-02-01 00:00:00,1,2,0,2021,39220.0,28659.0,31705.0,52813.0,24.0,2666.0,7898.0
2021-02-01 01:00:00,1,2,1,2021,37088.0,30063.0,31118.0,52815.0,24.0,2648.0,7883.0
2021-02-01 02:00:00,1,2,2,2021,35608.0,30199.0,30525.0,52812.0,24.0,2616.0,7703.0
2021-02-01 03:00:00,1,2,3,2021,35915.0,28753.0,32869.0,52818.0,24.0,2590.0,7867.0
2021-02-01 04:00:00,1,2,4,2021,47046.0,39361.0,44577.0,70418.0,32.0,3372.0,10511.0
2021-02-01 05:00:00,1,2,5,2021,37928.0,30023.0,32530.0,52819.0,24.0,2512.0,7970.0
2021-02-01 06:00:00,1,2,6,2021,44859.0,37233.0,37613.0,52808.0,24.0,2486.0,7793.0
2021-02-01 07:00:00,1,2,7,2021,46867.0,39949.0,38457.0,52799.0,24.0,2533.0,7755.0
2021-02-01 08:00:00,1,2,8,2021,51137.0,40519.0,41253.0,52806.0,24.0,2574.0,6210.0
2021-02-01 09:00:00,1,2,9,2021,56586.0,40440.0,41647.0,52808.0,24.0,2598.0,4570.0
2021-02-01 10:00:00,1,2,10,2021,61887.0,55196.0,51798.0,61608.0,1249.0,3029.0,3781.0
2021-02-01 11:00:00,1,2,11,2021,60915.0,50239.0,51769.0,57222.0,1987.0,2823.0,2777.0
2021-02-01 12:00:00,1,2,12,2021,72147.0,53099.0,58772.0,66029.0,524.0,3220.0,2797.0
2021-02-01 13:00:00,1,2,13,2021,57706.0,42686.0,45870.0,52824.0,941.0,2441.0,2325.0
2021-02-01 14:00:00,1,2,14,2021,55531.0,41630.0,45555.0,52819.0,210.0,2256.0,2681.0
2021-02-01 15:00:00,1,2,15,2021,62304.0,49386.0,54256.0,61608.0,28.0,2623.0,3205.0
2021-02-01 16:00:00,1,2,16,2021,50561.0,42866.0,46521.0,52805.0,24.0,2210.0,3694.0
2021-02-01 17:00:00,1,2,17,2021,52073.0,46056.0,47135.0,52796.0,24.0,2252.0,4973.0
2021-02-01 18:00:00,1,2,18,2021,50866.0,47706.0,47697.0,52800.0,24.0,2195.0,5743.0
2021-02-01 19:00:00,1,2,19,2021,48060.0,44661.0,46949.0,52810.0,24.0,2200.0,5669.0
2021-02-01 20:00:00,1,2,20,2021,45587.0,41910.0,44710.0,52818.0,24.0,2202.0,5238.0
2021-02-01 21:00:00,1,2,21,2021,43281.0,41534.0,44547.0,52814.0,24.0,2219.0,4103.0
2021-02-01 22:00:00,1,2,22,2021,38142.0,39696.0,43694.0,52809.0,24.0,2238.0,3670.0
2021-02-01 23:00:00,1,2,23,2021,32868.0,33445.0,44684.0,52812.0,24.0,2232.0,4288.0
2021-03-01 00:00:00,1,3,0,2021,37571.0,13924.0,29581.0,52761.0,24.0,2915.0,16161.0
2021-03-01 01:00:00,1,3,1,2021,35108.0,13771.0,26200.0,52762.0,24.0,2910.0,16006.0
2021-03-01 02:00:00,1,3,2,2021,36096.0,14679.0,24152.0,52759.0,24.0,2965.0,17506.0
2021-03-01 03:00:00,1,3,3,2021,36432.0,16262.0,23915.0,52743.0,24.0,2934.0,17035.0
2021-03-01 04:00:00,1,3,4,2021,36829.0,16587.0,24386.0,52767.0,24.0,2920.0,16969.0
2021-03-01 05:00:00,1,3,5,2021,38401.0,21115.0,25698.0,52756.0,24.0,2916.0,16408.0
2021-03-01 06:00:00,1,3,6,2021,39555.0,30918.0,25128.0,52749.0,24.0,2866.0,13568.0
2021-03-01 07:00:00,1,3,7,2021,39177.0,35340.0,28948.0,52758.0,24.0,2967.0,14456.0
2021-03-01 08:00:00,1,3,8,2021,41147.0,39080.0,32896.0,52791.0,24.0,3024.0,15521.0
2021-03-01 09:00:00,1,3,9,2021,43811.0,40486.0,37511.0,52792.0,24.0,2915.0,16027.0
2021-03-01 10:00:00,1,3,10,2021,42047.0,42843.0,39657.0,52802.0,24.0,2934.0,16562.0
2021-03-01 11:00:00,1,3,11,2021,44423.0,43140.0,41342.0,52813.0,24.0,2880.0,16648.0
2021-03-01 12:00:00,1,3,12,2021,55984.0,49514.0,47675.0,61625.0,28.0,3402.0,18148.0
2021-03-01 13:00:00,1,3,13,2021,43611.0,41429.0,39238.0,52806.0,24.0,2973.0,17340.0
2021-03-01 14:00:00,1,3,14,2021,38032.0,41858.0,35846.0,52802.0,24.0,2963.0,18781.0
2021-03-01 15:00:00,1,3,15,2021,39229.0,41977.0,34539.0,52825.0,24.0,2914.0,18929.0
2021-03-01 16:00:00,1,3,16,2021,39994.0,43545.0,35793.0,52823.0,24.0,2913.0,18848.0
2021-03-01 17:00:00,1,3,17,2021,44296.0,44477.0,33646.0,52821.0,24.0,2904.0,18181.0
2021-03-01 18:00:00,1,3,18,2021,51479.0,45235.0,40726.0,52829.0,24.0,2884.0,14844.0
2021-03-01 19:00:00,1,3,19,2021,50248.0,45526.0,39573.0,52832.0,24.0,2887.0,16750.0
2021-03-01 20:00:00,1,3,20,2021,54777.0,51419.0,49492.0,61650.0,28.0,3311.0,21241.0
2021-03-01 21:00:00,1,3,21,2021,41374.0,42115.0,40743.0,52839.0,24.0,2898.0,18711.0
2021-03-01 22:00:00,1,3,22,2021,34461.0,39116.0,37984.0,52844.0,24.0,2846.0,18631.0
